contracting_agency_id,contracting_office_id,contracting_department_id,contracting_agency_name,contracting_office_name,contracting_department_name
1100,113160,1100,EXECUTIVE OFFICE OF THE PRESIDENT,EOP - OFFICE OF ADMINISTRATION,EXECUTIVE OFFICE OF THE PRESIDENT
12C2,1240LN,1200,FOREST SERVICE,"USDA-FS, CSA INTERMOUNTAIN 3","AGRICULTURE, DEPARTMENT OF"
12C2,12046W,1200,FOREST SERVICE,USDA FOREST SERVICE,"AGRICULTURE, DEPARTMENT OF"
12C2,12046W,1200,FOREST SERVICE,USDA FOREST SERVICE,"AGRICULTURE, DEPARTMENT OF"
12C2,12046W,1200,FOREST SERVICE,USDA FOREST SERVICE,"AGRICULTURE, DEPARTMENT OF"
12C2,12046W,1200,FOREST SERVICE,USDA FOREST SERVICE,"AGRICULTURE, DEPARTMENT OF"
12C2,12046W,1200,FOREST SERVICE,USDA FOREST SERVICE,"AGRICULTURE, DEPARTMENT OF"
12C2,12046W,1200,FOREST SERVICE,USDA FOREST SERVICE,"AGRICULTURE, DEPARTMENT OF"
12C2,12046W,1200,FOREST SERVICE,USDA FOREST SERVICE,"AGRICULTURE, DEPARTMENT OF"
12C2,1240BH,1200,FOREST SERVICE,"USDA-FS, CSA NORTHWEST 6","AGRICULTURE, DEPARTMENT OF"
12C2,1240BH,1200,FOREST SERVICE,"USDA-FS, CSA NORTHWEST 6","AGRICULTURE, DEPARTMENT OF"
12C2,1240BH,1200,FOREST SERVICE,"USDA-FS, CSA NORTHWEST 6","AGRICULTURE, DEPARTMENT OF"
12C2,1240BH,1200,FOREST SERVICE,"USDA-FS, CSA NORTHWEST 6","AGRICULTURE, DEPARTMENT OF"
12C2,120489,1200,FOREST SERVICE,USDA FOREST SERVICE-SPOC NW,"AGRICULTURE, DEPARTMENT OF"
12C2,120489,1200,FOREST SERVICE,USDA FOREST SERVICE-SPOC NW,"AGRICULTURE, DEPARTMENT OF"
12C2,120489,1200,FOREST SERVICE,USDA FOREST SERVICE-SPOC NW,"AGRICULTURE, DEPARTMENT OF"
12C2,1240BK,1200,FOREST SERVICE,"USDA-FS, CSA NORTHWEST 1","AGRICULTURE, DEPARTMENT OF"
12C2,1204N7,1200,FOREST SERVICE,ROGUE RIVER-SISKIYOU NATL FOREST,"AGRICULTURE, DEPARTMENT OF"
12C2,1240BE,1200,FOREST SERVICE,"USDA-FS, CSA NORTHWEST 3","AGRICULTURE, DEPARTMENT OF"
12C2,1240BK,1200,FOREST SERVICE,"USDA-FS, CSA NORTHWEST 1","AGRICULTURE, DEPARTMENT OF"
12C2,1240BK,1200,FOREST SERVICE,"USDA-FS, CSA NORTHWEST 1","AGRICULTURE, DEPARTMENT OF"
12C2,1240BK,1200,FOREST SERVICE,"USDA-FS, CSA NORTHWEST 1","AGRICULTURE, DEPARTMENT OF"
12C2,124419,1200,FOREST SERVICE,USDA FOREST SERVICE-SPOC EAST,"AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124443,1200,FOREST SERVICE,"USDA-FS, CSA EAST 5","AGRICULTURE, DEPARTMENT OF"
12C2,124441,1200,FOREST SERVICE,"USDA-FS, CSA EAST 3","AGRICULTURE, DEPARTMENT OF"
12C2,124441,1200,FOREST SERVICE,"USDA-FS, CSA EAST 3","AGRICULTURE, DEPARTMENT OF"
12C2,124419,1200,FOREST SERVICE,USDA FOREST SERVICE-SPOC EAST,"AGRICULTURE, DEPARTMENT OF"
12C2,124419,1200,FOREST SERVICE,USDA FOREST SERVICE-SPOC EAST,"AGRICULTURE, DEPARTMENT OF"
12C2,124419,1200,FOREST SERVICE,USDA FOREST SERVICE-SPOC EAST,"AGRICULTURE, DEPARTMENT OF"
